1>hpcT>BABABABABABAOGl7xF  >EBXw7WjBgEREYGXK>19150303>kTxDkgAGBE4SzrRBYEd7EEXLMVoK2WEBEBBgJBnEEcahErpz0DVvXoALE1VxEmAyP5BZA2huQ8NUkEEAEaFDXBAQvrX3BDmI823kTAP5ByLzlPDcE1nEFnMbPLBIDgn1TbW8x7dqVobA3LT0DAaE0mFEEUEABwyEEFDkAFMFEnK3ydSwVBaDm1BUBERDrAX0FEWDWiXAGJFD9dmPcX
2>XDHUAC7AE8>BABABABABABAALwH    >fXX1ETUBp>19690425>0PEDETqGEqEDEDF2EAvDkuIAvcqwCE72RFEZQWfEXrBDuXu3DbBoDBDfjmAmnAZ4EbPREEdEXW8CqnEEB4pAAkPKBcDZLHOMid0QJDR2lFDMxFAb6gghCvsEIZMp2b2VDR7UfEBEXXOvBFH58nCDUExcaEDDs5N3HDEmB9oA62m5DEa0Ryv7deX3ZCFC7Q5BWslPnFGeqBXjsvUEeE27J
3>v4Fc6F>BABABABABABARI      >wuXEEODFrG>19720607>bQXBkPPlCHuD3jXQEFB1wDErc3xE9eZAutHP8t1DBgDDEDDFEEAiSDLF6Bz1tJEY2PnvBZrEAbp7h1XTELEJOUDDND76AtB7B2oEAE3ErdEFBBdDEmPT6aZEXEEEDKXFDlAD10BHPDRIEvOESzcFF1OKDKODUh1SDzHikWAzLDBQndZAD1ECnPMqZxouBaXXFF1ZxcJ9VCFBgjDYXBa8B9NwVEbkMZhXeXDEwEDCBEFZdCEyKeVhC4DtqUB3twDIE7UcEFeAVwWzDaiE54bDXT8X9EERiDZO5EAnDblbE7L8XuEENkB639EcvBEPqadgFEALfUmoMyhfHqoq
4>qhtkYGRBDgBg>BABABABABABARE      >JlUOwD4XvFDALFi00tbF>20020719>UdNWkEXE9eROtXXMFuDB7aEaLnA8kG4D6DLFDgGDEtEpsL1oEEoybxJmAOJ6VDvMEDRyutaqCmEuyDToxDXEq3vAFDhX2Nj4bBnBfXbhksETZfBBYQEBEEpB0HeRqBGDztFPrlwND8gRDZYxAoaEOAEBdRREQXBECEQEhAAZ6uDEEAruEFwFCi3fzF5AcrB08RfEOs0ABcBGyUBYWhjYEXF0cu1DW2qPEGUSyFCBhBAQWDEBgJYL2iFBNEE56YDD0EOOJQVAnMNEKE9qSFEA0FXBEDiEbSEAsFb1awyBBA8ZD2EZAEekDdNCgFD7XBAr3KeOAANG3BgD9hXtUcDN5bPAHSBcEDAAJjXWahdPSEFNbI6FkABbgexnwABBEGxApFFEO4P2AZEKh6ADpGeDlMuSKFEDEE4bvEbEDrE4ExANpNmPTBWDNEIXDDH4DFEzNrtXXb1XKEizXAXTDVe
5>WmDDqA7t>BABABABABABASE      >EHPeEMxjXw>19070617>PzGXzZEADYGbAJCFCwdFFsoFDBgFEKEXDBSYxtHmFjDCtBdvx757Of4EgXOkfJ4EgIyD1Ae3ad5EeXzM4qEED8ImDWBY1AyFAiL6ZpYzDD43LoABBFFBDNP65XPVUDnZKyE5ZSUygJRDxRBrWEqVR6EBOFciDE7kd1EEEum6334mFiDymiE4ZEpnVDDYEDBhzUr3BDu3FOEBDF5p0nIL3AyEE5iE3btSvXDvA1NBAnBD56sUf1fX6PBBFT48EiDbiFHvEqpEDqBxhzCAliDGEvAJB9Ft
6>DFFKirDEREE>BABABABABABAATYq    >Dca2fBDXEJCrPL>19160803>NV8Fa4PEhdDyZADGhC9XZXEWcTDr0TEBouEXkqPFEX0ICckj0ehDbyh4Dfg3yogXXltiMBkEMXYOc9yAYQC0BjpFED6yZBHt8BMAEwAAvYbISFWraYcaBFcBEXDhXALDEXXAEUEBBfBFqP9E
7>AF3CiwKfYs0>BABABABABABAUL2     >3EqMDhQSlXEFRNs>19381119>XbHdPfFEqbVXNDBAaXDBkH07CgJQJXXhYfEoDAkloEi1EqBXn3QIEEBXigkrdDJ2tEbpEEDkEuWyXAG83sFzYDEAjo4XgBBLDM0XIpjRX5EX5H6u08eJFMA1BDzn3ky7DN6M3EdEEeDBmAfX59g1GgRNVC0K8OFAbmJPA8C6CIDDAHSoByadPrq6EGEnqDOFTXFQEUEScDNLDfDPDKEdEUX2wEaBxoEBFWSEqafDKBOYJXoXeo1Q80Dq0dDMCFkXC2LsNAvtp9Dy7rHWE89EtAzIbcrzeEyhBEKE6Ajg0mEtDXEIEnSnlFvXIBwnNJFEZlCQc8xOJD7YX72BKA2F1iBEkZ3E58DBfAg7jDGE5DY4kDEEDkDwDvqnFJWDCRDhDrayjgyZfBDAFFB6gERjdBI4Ye0avEB9RTs0DbFlMClJXmA0qoUE3c9EAYQ8XJhPyKA5mKFAMDOgkPEEFPQrBFh5iEd2OECAbC2DMBEuAFDbhGn
8>W4XVBeDMjoXx5>BABABABABABAIN      >uFaME9FDSF>19440831>tckFAABCMD3YFBASyhUHzETtousDAnWVAAnFAuIReEpxAREZAU2iXBMo142dcJAdAW4FBAXf8AAjOABTLwEL3XDp38DEFEuCeNIfD1FEyESXBhRMOEtCDzsAsvIYi2xXB5dMrZEEiMYjEqDPEwSEhEEFqaNJAEHD06EcEX2yhETigAyhDBlOF2D8AmDFhgTSBuERthALXTEFpdVXeAlwuDT7hWAXEEnFESbp0c0EF1AWBSttKPaDLuwsBusDEQXljxDXKEGEcDMr
9>EWgGwVRbC>BABABABABABANG      >zD8DsFE>20060518>rDrEExBcfLE1CaSeE9vjFEXEj7Wt2lEeDWRoEQBjbGVdg9DohnE0kDeEB0x1WyEFAL6Ex8tFBXnJEgyxE7MorqsqcaGyEBuDimFEJvFEEsRDEAXO7jEkDgDn6FAETF8ESDDbUIjAEBEEESJtEXODzEPqWlVERBE53ERJQ0fC8aXutHY2an0FDAfUlBQFEXt4DFDBDHZphXXL1XDEEcBBc2NXnzESx2B4yyEgEPDXnF5ZyhPtEmmtD
10>srjfERTBDFz>BABABABABAOGBA      >iEMTXzYE>19250127>ru0mFXEXdnAXD6OW7XZrE7RHDlAjYAqAFbmDA3AMbDJefuECELtDDFDPhQyEnaAT1zE7RDEB2OeX8QVmxXh0R6EAEzEZFEsE893L1mFpBS8E4DQmNECfpCOb1KBETd8ABaCEXEyEfVxUjX7ED9NsExEy8DuESRDpBFyESMEx3yFYxnG0hTdeEhN9W70oK3OE9XAMfz9XNEWEkcvCFEgwUErAmGPDEz5FwDAAZEL8A33bEjdEsEsADXnhaEOr8E1pE22ZDDF9fDXvTzrEEV8EpgIBpssiEIEEEpdBnZmEf8zyWcuBxnXBEFYtAEEEKXAbnUEMtDQEkA7AcmOKFLiDn6lWmxfDvWIUqjgULwdvwVmK70UvE29jYfEEAVD8DGASpt80EAgEVDFNFmB0E2UySLtJgrDJxQxYDVEBrqBDtDLiUF
